scientificName,decimalLatitude,decimalLongitude,year,basisOfRecord,species_standard
Impatiens glandulifera Royle,57.03912,12.77254,NA,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.37521,12.69589,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.34082,12.81133,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.40772,12.7265,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.74873,12.73624,1985,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,60.28734,18.30789,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.81967,12.73436,1985,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,57.57367,12.07713,1986,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,63.93735,19.77838,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,62.47275,16.33551,2012,HUMAN_OBSERVATION,Impatiens glandulifera
Impatiens glandulifera Royle,56.5662,13.42436,1989,HUMAN_OBSERVATION,Impatiens glandulifera
